iter,wl,overlap,ref
1,55.03,0.0092,2161.00
2,54.83,0.0099,2160.89
3,54.70,0.0097,2160.80
4,54.61,0.0095,2160.71
5,54.52,0.0094,2160.62
6,54.44,0.0094,2160.54
7,54.37,0.0093,2160.45
8,54.29,0.0093,2160.37
9,54.22,0.0093,2160.28
10,54.14,0.0094,2160.20
11,54.07,0.0093,2160.11
12,54.00,0.0092,2160.03
13,53.93,0.0092,2159.95
14,53.87,0.0092,2159.86
15,53.81,0.0092,2159.78
16,53.75,0.0092,2159.70
17,53.68,0.0092,2159.61
18,53.61,0.0092,2159.53
19,53.56,0.0092,2159.45
20,53.50,0.0091,2159.37
21,53.45,0.0091,2159.28
22,53.40,0.0091,2159.20
23,53.35,0.0091,2159.12
24,53.30,0.0091,2159.04
25,53.25,0.0091,2158.96
26,53.19,0.0091,2158.88
27,53.15,0.0091,2158.80
28,53.10,0.0091,2158.72
29,53.05,0.0091,2158.64
30,52.99,0.0091,2158.56
31,52.94,0.0091,2158.48
32,52.90,0.0091,2158.40
33,52.86,0.0091,2158.32
34,52.82,0.0091,2158.24
35,52.78,0.0090,2158.16
36,52.73,0.0090,2158.07
37,52.68,0.0090,2158.00
38,52.64,0.0090,2157.92
39,52.59,0.0090,2157.84
40,52.55,0.0090,2157.76
41,52.50,0.0090,2157.68
42,52.46,0.0090,2157.60
43,52.42,0.0090,2157.52
44,52.38,0.0090,2157.44
45,52.33,0.0090,2157.36
46,52.29,0.0090,2157.28
47,52.24,0.0090,2157.20
48,52.20,0.0090,2157.13
49,52.16,0.0090,2157.05
50,52.11,0.0090,2156.97
51,52.07,0.0090,2156.89
52,52.04,0.0090,2156.81
53,52.00,0.0090,2156.74
54,51.96,0.0090,2156.66
55,51.92,0.0090,2156.58
56,51.87,0.0090,2156.51
57,51.83,0.0090,2156.43
58,51.78,0.0090,2156.35
59,51.74,0.0089,2156.28
60,51.69,0.0089,2156.21
61,51.64,0.0089,2156.14
62,51.59,0.0089,2156.06
63,51.55,0.0089,2155.99
64,51.51,0.0089,2155.92
65,51.46,0.0089,2155.85
66,51.43,0.0089,2155.77
67,51.39,0.0089,2155.70
68,51.35,0.0089,2155.63
69,51.31,0.0089,2155.56
70,51.28,0.0089,2155.49
71,51.24,0.0089,2155.42
72,51.21,0.0089,2155.35
73,51.18,0.0089,2155.28
74,51.15,0.0089,2155.21
