iter,wl,overlap,ref
1,55.40,0.0000,2063.80
2,55.28,0.0009,2063.72
3,55.18,0.0010,2063.63
4,55.10,0.0007,2063.56
5,55.01,0.0004,2063.48
6,54.93,0.0003,2063.41
7,54.86,0.0004,2063.34
8,54.80,0.0005,2063.28
9,54.74,0.0005,2063.20
10,54.70,0.0004,2063.14
11,54.65,0.0003,2063.07
12,54.60,0.0002,2063.01
13,54.55,0.0002,2062.95
14,54.51,0.0002,2062.88
15,54.46,0.0002,2062.82
16,54.42,0.0002,2062.75
17,54.37,0.0001,2062.69
18,54.32,0.0002,2062.63
19,54.26,0.0001,2062.57
20,54.21,0.0001,2062.50
21,54.16,0.0001,2062.44
22,54.11,0.0001,2062.38
23,54.06,0.0001,2062.32
24,54.02,0.0001,2062.27
25,53.97,0.0000,2062.20
26,53.93,0.0000,2062.15
27,53.89,0.0000,2062.09
28,53.84,0.0000,2062.03
29,53.80,0.0000,2061.97
30,53.76,0.0000,2061.92
31,53.72,0.0000,2061.86
32,53.67,0.0000,2061.80
33,53.63,0.0000,2061.75
34,53.59,0.0001,2061.69
35,53.54,0.0000,2061.64
36,53.50,0.0000,2061.58
37,53.45,0.0000,2061.53
38,53.41,0.0000,2061.47
39,53.37,0.0000,2061.42
40,53.32,0.0000,2061.36
41,53.28,0.0000,2061.31
42,53.23,0.0000,2061.26
43,53.18,0.0000,2061.20
44,53.14,0.0000,2061.15
45,53.09,0.0000,2061.10
46,53.04,0.0000,2061.05
47,53.00,0.0000,2060.99
48,52.95,0.0000,2060.95
49,52.90,0.0000,2060.89
50,52.86,0.0000,2060.85
51,52.81,0.0000,2060.80
52,52.76,0.0000,2060.75
53,52.71,0.0000,2060.70
54,52.67,0.0000,2060.65
55,52.63,0.0000,2060.60
56,52.59,0.0000,2060.55
57,52.54,0.0000,2060.50
58,52.50,0.0000,2060.45
59,52.46,0.0000,2060.40
60,52.42,0.0000,2060.35
61,52.38,0.0000,2060.31
62,52.33,0.0000,2060.26
63,52.29,0.0000,2060.21
64,52.26,0.0000,2060.16
65,52.22,0.0000,2060.12
66,52.19,0.0000,2060.07
67,52.16,0.0000,2060.02
68,52.12,0.0000,2059.98
69,52.08,0.0000,2059.93
70,52.05,0.0000,2059.89
71,52.02,0.0000,2059.84
72,51.99,0.0000,2059.80
73,51.96,0.0000,2059.75
74,51.93,0.0000,2059.71
75,51.90,0.0000,2059.66
76,51.88,0.0000,2059.61
77,51.85,0.0000,2059.57
78,51.82,0.0000,2059.53
79,51.79,0.0000,2059.49
80,51.75,0.0000,2059.44
81,51.72,0.0000,2059.40
82,51.69,0.0000,2059.35
83,51.66,0.0000,2059.31
84,51.63,0.0000,2059.27
85,51.60,0.0000,2059.23
86,51.58,0.0000,2059.18
87,51.55,0.0000,2059.14
88,51.52,0.0000,2059.10
89,51.49,0.0000,2059.06
90,51.46,0.0000,2059.02
91,51.43,0.0000,2058.98
92,51.40,0.0000,2058.94
93,51.36,0.0000,2058.90
94,51.33,0.0000,2058.86
95,51.30,0.0000,2058.82
96,51.27,0.0000,2058.78
97,51.23,0.0000,2058.74
98,51.21,0.0000,2058.71
99,51.18,0.0000,2058.67
100,51.16,0.0000,2058.63
101,51.13,0.0000,2058.60
102,51.11,0.0000,2058.56
103,51.08,0.0000,2058.52
104,51.06,0.0000,2058.48
105,51.03,0.0000,2058.44
106,51.01,0.0000,2058.41
107,50.98,0.0000,2058.37
108,50.95,0.0000,2058.33
109,50.92,0.0000,2058.29
110,50.89,0.0000,2058.26
111,50.87,0.0000,2058.22
112,50.85,0.0000,2058.19
113,50.82,0.0000,2058.15
114,50.80,0.0000,2058.11
115,50.78,0.0000,2058.07
116,50.75,0.0000,2058.04
117,50.73,0.0000,2058.00
